id,identifier,NAZWA,ULICA,KOD pocztowy,MIASTO,WOJEWÓDZTWO,name,,health_fund
284,823,Kwidzyn Szpital Zdrowie,Gen. Józefa Hallera 31,82-500,Kwidzyn,pomorskie,"Kwidzyn Szpital Zdrowie, ul. Gen. Józefa Hallera 31, 82-500 Kwidzyn",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
285,827,Samodzielny Publiczny Specjalistyczny Zakład Opieki Zdrowotnej,Juliana Węgrzynowicza 13,84-300,Lębork,pomorskie,"Samodzielny Publiczny Specjalistyczny Zakład Opieki Zdrowotnej, ul. Juliana Węgrzynowicza 13, 84-300 Lębork",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
286,858,Powiatowe Centrum Zdrowia Sp. z o.o. Szpital im. dr Jadwigi Obodzińskiej- Król,Armii Krajowej 105/106,82-200,Malbork,pomorskie,"Powiatowe Centrum Zdrowia Sp. z o.o. Szpital im. dr Jadwigi Obodzińskiej- Król, ul. Armii Krajowej 105/106, 82-200 Malbork",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
287,859,Szpital Miejski w Miastku Sp. z o. o.,Wybickiego 30,77-200,Miastko,pomorskie,"Szpital Miejski w Miastku Sp. z o. o., ul. Wybickiego 30, 77-200 Miastko",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
288,944,Szpital Pucki Sp. z o.o.,2001 maja 13,84-100,Puck,pomorskie,"Szpital Pucki Sp. z o.o., ul. 2001 maja 13, 84-100 Puck",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
289,994,Kociewskie Centrum Zdrowia Sp. z o.o.,Józefa Balewskiego 1,83-200,Starogard Gdański,pomorskie,"Kociewskie Centrum Zdrowia Sp. z o.o., ul. Józefa Balewskiego 1, 83-200 Starogard Gdański",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
290,1023,Szpital Polski Sztum,Mikołaja Reja 12,82-400,Sztum,pomorskie,"Szpital Polski Sztum, ul. Mikołaja Reja 12, 82-400 Sztum",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
291,1030,Szpitale Tczewskie S.A.,30 stycznia 57/58,83-110,Tczew,pomorskie,"Szpitale Tczewskie S.A., ul. 30 stycznia 57/58, 83-110 Tczew",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
292,1040,Wojewódzki Szpital Specjalistyczny im. Janusza Korczaka,Mickiewicza 12,76-270,Ustka,pomorskie,"Wojewódzki Szpital Specjalistyczny im. Janusza Korczaka, ul. Mickiewicza 12, 76-270 Ustka",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
293,1065,Szpital Specjalistyczny im. F. Ceynowy Sp. z o.o.,Jagalskiego 10,84-200,Wejherowo,pomorskie,"Szpital Specjalistyczny im. F. Ceynowy Sp. z o.o., ul. Jagalskiego 10, 84-200 Wejherowo",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
294,1149,Clinica Medica Sp.z o.o.,Mireckiego 11,81-229,Gdynia,pomorskie,"Clinica Medica Sp.z o.o., ul. Mireckiego 11, 81-229 Gdynia",Pomorski Oddział Narodowego Funduszu Zdrowia w Gdańsku,11
295,671,Powiatowy Zespół Zakładów Opieki Zdrowotnej,Małachowskiego 12,42-500,Będzin,śląskie,"Powiatowy Zespół Zakładów Opieki Zdrowotnej, ul. Małachowskiego 12, 42-500 Będzin",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
296,1114,Centrum Medyczne Esculap Sp. z o.o.,Cieszyńska 472,43-382,Bielsko-Biała,śląskie,"Centrum Medyczne Esculap Sp. z o.o., ul. Cieszyńska 472, 43-382 Bielsko-Biała",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
297,680,Beskidzkie Centrum Onkologii. Szpital Miejski im. Jana Pawla II,Wyspiańskiego 21,43-300,Bielsko-Biała,śląskie,"Beskidzkie Centrum Onkologii. Szpital Miejski im. Jana Pawla II, ul. Wyspiańskiego 21, 43-300 Bielsko-Biała",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
298,681,Szpital Wojewódzki,Armii Krajowej 101,43-316,Bielsko-Biała,śląskie,"Szpital Wojewódzki, ul. Armii Krajowej 101, 43-316 Bielsko-Biała",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
299,684,Szpital im. R. Weigla,Sosnowa 16,42-290,Blachownia,śląskie,"Szpital im. R. Weigla, ul. Sosnowa 16, 42-290 Blachownia",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
300,702,Szpital Specjalistyczny nr 2,Stefana Batorego 15,41-902,Bytom,śląskie,"Szpital Specjalistyczny nr 2, ul. Stefana Batorego 15, 41-902 Bytom",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
301,709,Śląski Instytut Matki i Noworodka,Strzelców Bytomskich 11,41-500,Chorzów,śląskie,"Śląski Instytut Matki i Noworodka, ul. Strzelców Bytomskich 11, 41-500 Chorzów",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
302,714,Zespół Zakładów Opieki Zdrowotnej w Cieszynie,Bielska 4,43-400,Cieszyn,śląskie,"Zespół Zakładów Opieki Zdrowotnej w Cieszynie, ul. Bielska 4, 43-400 Cieszyn",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
303,717,SP ZOZ Miejski Szpital Zespolony,Mickiewicza 12,42-200,Częstochowa,śląskie,"SP ZOZ Miejski Szpital Zespolony, ul. Mickiewicza 12, 42-200 Częstochowa",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
304,718,Wojewódzki Szpital Specjalistyczny im. Najświętszej Marii Panny,Bialska 104/ 118,42-200,Częstochowa,śląskie,"Wojewódzki Szpital Specjalistyczny im. Najświętszej Marii Panny, ul. Bialska 104/ 118, 42-200 Częstochowa",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
305,743,Szpital Wielospecjalistyczny Sp. z o.o.,Kościuszki 1,44-100,Gliwice,śląskie,"Szpital Wielospecjalistyczny Sp. z o.o., ul. Kościuszki 1, 44-100 Gliwice",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
306,773,Wojewódzki Szpital Specjalistyczny nr 2,Al. Jana Pawła II 7,44-330,Jastrzębie Zdrój,śląskie,"Wojewódzki Szpital Specjalistyczny nr 2, ul. Al. Jana Pawła II 7, 44-330 Jastrzębie Zdrój",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
307,775,Samodzielny Publiczny Zespół Opieki Zdrowotnej. Szpital Wielospecjalistyczny,Chełmońskiego 28,43-600,Jaworzno,śląskie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej. Szpital Wielospecjalistyczny, ul. Chełmońskiego 28, 43-600 Jaworzno",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
308,1139,"""Łubinowa 3"" Sp. z o.o Sp. k. Szpital Położniczo-Ginekologiczny",Łubinowa 3,40-647,Katowice,śląskie,"""Łubinowa 3"" Sp. z o.o Sp. k. Szpital Położniczo-Ginekologiczny, ul. Łubinowa 3, 40-647 Katowice",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
309,782,Samodzielny Publiczny Centralny Szpital Kliniczny im. Prof. Kornela Gibińskiego Śląskiego Uniwersytetu Medycznego,Medyków 14,40-752,Katowice,śląskie,"Samodzielny Publiczny Centralny Szpital Kliniczny im. Prof. Kornela Gibińskiego Śląskiego Uniwersytetu Medycznego, ul. Medyków 14, 40-752 Katowice",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
310,783,Okręgowy Szpital Kolejowy w Katowicach Sp. z o.o.,Panewnicka 65,40-760,Katowice,śląskie,"Okręgowy Szpital Kolejowy w Katowicach Sp. z o.o., ul. Panewnicka 65, 40-760 Katowice",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
311,785,Szpital im. Stanisława Leszczyńskiego,Raciborska 26,40-074,Katowice,śląskie,"Szpital im. Stanisława Leszczyńskiego, ul. Raciborska 26, 40-074 Katowice",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
312,784,Szpital Zakonu Bonifratrów pw. Aniołów Stróżów,Ks. Leopolda Markiefki 87,40-211,Katowice,śląskie,"Szpital Zakonu Bonifratrów pw. Aniołów Stróżów, ul. Ks. Leopolda Markiefki 87, 40-211 Katowice",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
313,795,Szpital w Knurowie Sp. z o.o,Niepodległości 8,44-194,Knurów,śląskie,"Szpital w Knurowie Sp. z o.o, ul. Niepodległości 8, 44-194 Knurów",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
314,854,Samodzielny Publiczny Zaspół Opieki Zdrowotnej,Sobieskiego 9,42-700,Lubliniec,śląskie,"Samodzielny Publiczny Zaspół Opieki Zdrowotnej, ul. Sobieskiego 9, 42-700 Lubliniec",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
315,864,Centrum Zdrowia w Mikołowie Sp. z o.o,Waryńskiego 2,43-190,Mikołów,śląskie,"Centrum Zdrowia w Mikołowie Sp. z o.o, ul. Waryńskiego 2, 43-190 Mikołów",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
316,872,Mysłowickie Centrum Zdrowia Sp. z o.o,Mikołowska 1,41-400,Mysłowice,śląskie,"Mysłowickie Centrum Zdrowia Sp. z o.o, ul. Mikołowska 1, 41-400 Mysłowice",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
317,873,Samodzielny Publiczny Zespół Opieki Zdrowotnej w Myszkowie,Wolności 29,42-200,Myszków,śląskie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Myszkowie, ul. Wolności 29, 42-200 Myszków",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
318,916,"Piekarskie Centrum medyczne Sp. z o.o, Szpital Miejski pw. Św. Łukasza",Szpitalna 11,41-940,Piekary Śląskie,śląskie,"Piekarskie Centrum medyczne Sp. z o.o, Szpital Miejski pw. Św. Łukasza, ul. Szpitalna 11, 41-940 Piekary Śląskie",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
319,943,Centrum Dializa Sp. z o.o - Szpital Pszczyna,Antesa 11,43-200,Pszczyna,śląskie,"Centrum Dializa Sp. z o.o - Szpital Pszczyna, ul. Antesa 11, 43-200 Pszczyna",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
320,948,Szpital w Pyskowiecach Sp. z o.o.,Szpitalna 2,44-120,Pyskowice,śląskie,"Szpital w Pyskowiecach Sp. z o.o., ul. Szpitalna 2, 44-120 Pyskowice",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
321,950,Szpital Rejonowy im. dr Józefa Rostka,Gamowska 3,47-400,Racibórz,śląskie,"Szpital Rejonowy im. dr Józefa Rostka, ul. Gamowska 3, 47-400 Racibórz",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
322,958,Szpital Miejski w Rudzie Śląskiej Sp. z o.o.,Wincentego Lipa 2,41-703,Ruda Śląska,śląskie,"Szpital Miejski w Rudzie Śląskiej Sp. z o.o., ul. Wincentego Lipa 2, 41-703 Ruda Śląska",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
323,959,Samodzielny Publiczny Zakład Opieki Zdrowotnej Wojewódzki Szpital Specjalistyczny nr 3,Energetyków 46,44-200,Rybnik,śląskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej Wojewódzki Szpital Specjalistyczny nr 3, ul. Energetyków 46, 44-200 Rybnik",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
324,960,Powiatowy Publiczny Zakład Opieki Zdrowotnej w Rydułtowach i Wodzisławiu Śląskim z siedzibą w Wodzisławiu Śląskim,Plebiscytowa 47,44-283,Rydułtowy,śląskie,"Powiatowy Publiczny Zakład Opieki Zdrowotnej w Rydułtowach i Wodzisławiu Śląskim z siedzibą w Wodzisławiu Śląskim, ul. Plebiscytowa 47, 44-283 Rydułtowy",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
325,971,Szpital Miejski w Siemianowicach Śląskich Sp. z o.o.,1-go Maja 9,41-100,Siemianowice Śląskie,śląskie,"Szpital Miejski w Siemianowicach Śląskich Sp. z o.o., ul. 1-go Maja 9, 41-100 Siemianowice Śląskie",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
326,985,Sosnowiecki Szpital Miejski Sp z o.o.,Zegadłowicza 3,41-219,Sosnowiec,śląskie,"Sosnowiecki Szpital Miejski Sp z o.o., ul. Zegadłowicza 3, 41-219 Sosnowiec",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
327,1120,Zespół Opieki Zdrowotnej w Świętochłowicach Sp. z o.o. Szpital Powiatowy,Chorzowska 38,41-605,Świętochłowice,śląskie,"Zespół Opieki Zdrowotnej w Świętochłowicach Sp. z o.o. Szpital Powiatowy, ul. Chorzowska 38, 41-605 Świętochłowice",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
328,1029,Wielospecjalistyczny Szpital Powiatowy S.A. NZOZ Szpital im. dr B. Hagera,Pyskowicka 47- 51,42-612,Tarnowskie Góry,śląskie,"Wielospecjalistyczny Szpital Powiatowy S.A. NZOZ Szpital im. dr B. Hagera, ul. Pyskowicka 47- 51, 42-612 Tarnowskie Góry",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
329,1039,Megrez Sp. z o.o,Edukacji 102,43-100,Tychy,śląskie,"Megrez Sp. z o.o, ul. Edukacji 102, 43-100 Tychy",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
330,1072,Powiatowy Publiczny Zakład Opieki Zdrowotnej w Rydułtowach i Wodzisławiu Śląskim z siedzibą w Wodzisławiu Śląskim,26 marca 51,44-300,Wodzisław Śląski,śląskie,"Powiatowy Publiczny Zakład Opieki Zdrowotnej w Rydułtowach i Wodzisławiu Śląskim z siedzibą w Wodzisławiu Śląskim, ul. 26 marca 51, 44-300 Wodzisław Śląski",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
331,1095,Szpital Powiatowy,Miodowa 14,42-400,Zawiercie,śląskie,"Szpital Powiatowy, ul. Miodowa 14, 42-400 Zawiercie",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
332,1103,Szpital Miejski w Żorach,Dąbrowskiego 20,44-240,Żory,śląskie,"Szpital Miejski w Żorach, ul. Dąbrowskiego 20, 44-240 Żory",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
333,1106,Zespół Zakładów Opieki Zdrowotnej Szpital Powiatowy,Sienkiewicza 52,34-300,Żywiec,śląskie,"Zespół Zakładów Opieki Zdrowotnej Szpital Powiatowy, ul. Sienkiewicza 52, 34-300 Żywiec",Śląski Oddział Narodowego Funduszu Zdrowia w Katowicach,12
334,695,Zespół Opieki Zdrowotnej,Bohaterów Warszawy 67,28-100,Busko Zdrój,świętokrzyskie,"Zespół Opieki Zdrowotnej, ul. Bohaterów Warszawy 67, 28-100 Busko Zdrój",Świętokrzyski Oddział Narodowego Funduszu Zdrowia w Kielcach,13
335,776,ARTMEDIK Sp. z o.o. Szpital Specjalistyczny im. Władysława Biegańskiego,Małogoska 25,28-300,Jędrzejów,świętokrzyskie,"ARTMEDIK Sp. z o.o. Szpital Specjalistyczny im. Władysława Biegańskiego, ul. Małogoska 25, 28-300 Jędrzejów",Świętokrzyski Oddział Narodowego Funduszu Zdrowia w Kielcach,13
336,791,Szpital Kielecki św. Aleksandra Sp. z o.o.,Kościuszki 25,25-316,Kielce,świętokrzyskie,"Szpital Kielecki św. Aleksandra Sp. z o.o., ul. Kościuszki 25, 25-316 Kielce",Świętokrzyski Oddział Narodowego Funduszu Zdrowia w Kielcach,13
337,790,Świętokrzyskie Centrum Matki i Noworodka Szpital Specjalistyczny,Prosta 30,25-371,Kielce,świętokrzyskie,"Świętokrzyskie Centrum Matki i Noworodka Szpital Specjalistyczny, ul. Prosta 30, 25-371 Kielce",Świętokrzyski Oddział Narodowego Funduszu Zdrowia w Kielcach,13
338,792,Wojewódzki Szpital Zespolony,Grunwaldzka 45,25-736,Kielce,świętokrzyskie,"Wojewódzki Szpital Zespolony, ul. Grunwaldzka 45, 25-736 Kielce",Świętokrzyski Oddział Narodowego Funduszu Zdrowia w Kielcach,13
339,801,Specjalistyczny Szpital św. Łukasza,Gimnazjalna 41B,26-200,Końskie,świętokrzyskie,"Specjalistyczny Szpital św. Łukasza, ul. Gimnazjalna 41B, 26-200 Końskie",Świętokrzyski Oddział Narodowego Funduszu Zdrowia w Kielcach,13
340,901,TOP MEDICUS Sp. z o.o. Szpital w Opatowie,Słowackiego 13,27-500,Opatów,świętokrzyskie,"TOP MEDICUS Sp. z o.o. Szpital w Opatowie, ul. Słowackiego 13, 27-500 Opatów",Świętokrzyski Oddział Narodowego Funduszu Zdrowia w Kielcach,13
341,908,Zespół Opieki Zdrowotnej w Ostrowcu Świętokrzyskim,Karola Szymanowskiego 11,27-400,Ostrowiec Świętokrzyski,świętokrzyskie,"Zespół Opieki Zdrowotnej w Ostrowcu Świętokrzyskim, ul. Karola Szymanowskiego 11, 27-400 Ostrowiec Świętokrzyski",Świętokrzyski Oddział Narodowego Funduszu Zdrowia w Kielcach,13
342,918,Zespół Opieki Zdrowotnej,Armii Krajowej 22,28-400,Pińczów,świętokrzyskie,"Zespół Opieki Zdrowotnej, ul. Armii Krajowej 22, 28-400 Pińczów",Świętokrzyski Oddział Narodowego Funduszu Zdrowia w Kielcach,13
343,966,Szpital Specjalistyczny Ducha Świętego,Zygmunta Schinzla 13,27-600,Sandomierz,świętokrzyskie,"Szpital Specjalistyczny Ducha Świętego, ul. Zygmunta Schinzla 13, 27-600 Sandomierz",Świętokrzyski Oddział Narodowego Funduszu Zdrowia w Kielcach,13
344,976,Szpital Powiatowy im. M. Skłodowskiej – Curie,Szpitalna 1,26-110,Skarżysko-Kamienna,świętokrzyskie,"Szpital Powiatowy im. M. Skłodowskiej – Curie, ul. Szpitalna 1, 26-110 Skarżysko-Kamienna",Świętokrzyski Oddział Narodowego Funduszu Zdrowia w Kielcach,13
345,992,Powiatowy Zakład Opieki Zdrowotnej,Radomska 70,27-200,Starachowice,świętokrzyskie,"Powiatowy Zakład Opieki Zdrowotnej, ul. Radomska 70, 27-200 Starachowice",Świętokrzyski Oddział Narodowego Funduszu Zdrowia w Kielcach,13
346,995,Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej,11 listopada 78,28-200,Staszów,świętokrzyskie,"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej, ul. 11 listopada 78, 28-200 Staszów",Świętokrzyski Oddział Narodowego Funduszu Zdrowia w Kielcach,13
347,1071,Zespół Opieki Zdrowotnej we Włoszczowej,Żeromskiego 28,29-100,Włoszczowa,świętokrzyskie,"Zespół Opieki Zdrowotnej we Włoszczowej, ul. Żeromskiego 28, 29-100 Włoszczowa",Świętokrzyski Oddział Narodowego Funduszu Zdrowia w Kielcach,13
348,670,Szpital Powiatowy im. Jana Pawła II,Wyszyńskiego 11,11-200,Bartoszyce,warmińsko-mazurskie,"Szpital Powiatowy im. Jana Pawła II, ul. Wyszyńskiego 11, 11-200 Bartoszyce",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
349,683,Szpital Powiatowy im. Jana Mikulicza,Armii Krajowej 8,11-300,Biskupiec,warmińsko-mazurskie,"Szpital Powiatowy im. Jana Mikulicza, ul. Armii Krajowej 8, 11-300 Biskupiec",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
350,688,Centrum Ginekologiczno-Położnicze dr Talefe Mogesie,Moniuszki 13,14-500,Braniewo,warmińsko-mazurskie,"Centrum Ginekologiczno-Położnicze dr Talefe Mogesie, ul. Moniuszki 13, 14-500 Braniewo",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
351,729,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Leśna 1,13-200,Działdowo,warmińsko-mazurskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Leśna 1, 13-200 Działdowo",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
352,732,Samodzielny Publiczny Specjalityczny Zakład Opieki Zdrowotnej Szpital miejski im. Jana Pawła II,Żeromskiego 22,82-300,Elbląg,warmińsko-mazurskie,"Samodzielny Publiczny Specjalityczny Zakład Opieki Zdrowotnej Szpital miejski im. Jana Pawła II, ul. Żeromskiego 22, 82-300 Elbląg",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
353,733,Wojewódzki Szpital Zespolony,Królewiecka 146,82-300,Elbląg,warmińsko-mazurskie,"Wojewódzki Szpital Zespolony, ul. Królewiecka 146, 82-300 Elbląg",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
354,734,"""Pro-Medica"" w Ełku Sp. z o.o.",Baranki 24,19-300,Ełk,warmińsko-mazurskie,"""Pro-Medica"" w Ełku Sp. z o.o., ul. Baranki 24, 19-300 Ełk",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
355,742,"""Szpital Giżycki"" Sp. z o.o.",Warszawska 41,11-500,Giżycko,warmińsko-mazurskie,"""Szpital Giżycki"" Sp. z o.o., ul. Warszawska 41, 11-500 Giżycko",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
356,766,Powiatowy Szpital im. Władysława Biegańskiego,Gen. Władysława Andersa 3,14-200,Iława,warmińsko-mazurskie,"Powiatowy Szpital im. Władysława Biegańskiego, ul. Gen. Władysława Andersa 3, 14-200 Iława",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
357,789,Szpital Powiatowy w Kętrzynie,Marii Curie-Skłodowskiej 2,11-400,Kętrzyn,warmińsko-mazurskie,"Szpital Powiatowy w Kętrzynie, ul. Marii Curie-Skłodowskiej 2, 11-400 Kętrzyn",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
358,870,Szpital Mrągowski im. M. Kajki Sp. z o.o.,Wolności 12,11-700,Mrągowo,warmińsko-mazurskie,"Szpital Mrągowski im. M. Kajki Sp. z o.o., ul. Wolności 12, 11-700 Mrągowo",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
359,876,Zespół Opieki Zdrowotnej w Nidzicy,Mickiewicza 23,13-100,Nidzica,warmińsko-mazurskie,"Zespół Opieki Zdrowotnej w Nidzicy, ul. Mickiewicza 23, 13-100 Nidzica",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
360,882,Szpital Powiatowy w Nowym Mieście Lubawskim Sp. z o.o.,Mickiewicza 10,13-300,Nowe Miasto Lubawskie,warmińsko-mazurskie,"Szpital Powiatowy w Nowym Mieście Lubawskim Sp. z o.o., ul. Mickiewicza 10, 13-300 Nowe Miasto Lubawskie",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
361,894,"""OLMEDICA"" w Olecku Sp.z o.o.",Gołdapska 1,19-400,Olecko,warmińsko-mazurskie,"""OLMEDICA"" w Olecku Sp.z o.o., ul. Gołdapska 1, 19-400 Olecko",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
362,899,Miejski Szpital Zespolony,Niepodległości 44,10-045,Olsztyn,warmińsko-mazurskie,"Miejski Szpital Zespolony, ul. Niepodległości 44, 10-045 Olsztyn",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
363,898,"Niepubliczny Zakład Opieki Zdrowotnej ""MALARKIEWICZ I SPÓŁKA"" Sp.j.",Jagiellońska 78,10-229,Olsztyn,warmińsko-mazurskie,"Niepubliczny Zakład Opieki Zdrowotnej ""MALARKIEWICZ I SPÓŁKA"" Sp.j., ul. Jagiellońska 78, 10-229 Olsztyn",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
364,900,Wojewódzki Szpital Specjalistyczny,Żołnierska 18,10-561,Olsztyn,warmińsko-mazurskie,"Wojewódzki Szpital Specjalistyczny, ul. Żołnierska 18, 10-561 Olsztyn",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
365,904,Powiatowy Zespół Opieki Zdrowotnej S.A.,Władysława Jagiełły 1,14-100,Ostróda,warmińsko-mazurskie,"Powiatowy Zespół Opieki Zdrowotnej S.A., ul. Władysława Jagiełły 1, 14-100 Ostróda",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
366,922,SP ZOZ Szpital Powiatowy,Henryka Sienkiewicza 2,12-200,Pisz,warmińsko-mazurskie,"SP ZOZ Szpital Powiatowy, ul. Henryka Sienkiewicza 2, 12-200 Pisz",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
367,1021,Szpital Powiatowy,M. Curie-Skłodowskiej 12,11-200,Szczytno,warmińsko-mazurskie,"Szpital Powiatowy, ul. M. Curie-Skłodowskiej 12, 11-200 Szczytno",Warmińsko-Mazurski Oddział Narodowego Funduszu Zdrowia w Olsztynie,14
368,707,Szpital Powiatowy im. prof. Romana Drewsa,Żeromskiego 29,64-800,Chodzież,wielkopolskie,"Szpital Powiatowy im. prof. Romana Drewsa, ul. Żeromskiego 29, 64-800 Chodzież",Wielkopolski Oddział Narodowego Funduszu Zdrowia w Poznaniu,15
369,715,Zaspól Zakładów Opieki Zdrowotnej Szpital Powiatowy,Kościuszki 94,64-700,Czarnków,wielkopolskie,"Zaspól Zakładów Opieki Zdrowotnej Szpital Powiatowy, ul. Kościuszki 94, 64-700 Czarnków",Wielkopolski Oddział Narodowego Funduszu Zdrowia w Poznaniu,15
370,748,Zespół Opieki Zdrowotnej w Gnieźnie,ul. 3 Maja 37,62-200,Gniezno,wielkopolskie,"Zespół Opieki Zdrowotnej w Gnieźnie, ul. ul. 3 Maja 37, 62-200 Gniezno",Wielkopolski Oddział Narodowego Funduszu Zdrowia w Poznaniu,15
371,755,Samodzielny Publiczny Zespół Opieki Zdrowotnej w Gostyniu. Szpital im. Karola Marcinowskiego,Pl. Karola Marcinkowskiego 8/9,63-800,Gostyń,wielkopolskie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Gostyniu. Szpital im. Karola Marcinowskiego, ul. Pl. Karola Marcinkowskiego 8/9, 63-800 Gostyń",Wielkopolski Oddział Narodowego Funduszu Zdrowia w Poznaniu,15
372,758,Samodzielny Publiczny Zespól Opieki Zdrowotnej,Mossego 17,62-065,Grodzisk Wielkopolski,wielkopolskie,"Samodzielny Publiczny Zespól Opieki Zdrowotnej, ul. Mossego 17, 62-065 Grodzisk Wielkopolski",Wielkopolski Oddział Narodowego Funduszu Zdrowia w Poznaniu,15
373,770,Szpital Powiatowy w Jarocinie Sp. z o.o.,Szpitalna 1,63-200,Jarocin,wielkopolskie,"Szpital Powiatowy w Jarocinie Sp. z o.o., ul. Szpitalna 1, 63-200 Jarocin",Wielkopolski Oddział Narodowego Funduszu Zdrowia w Poznaniu,15
374,778,Wojewódzki Szpital Zespolony im. Ludwika Perzyny,Poznańska 79,62-800,Kalisz,wielkopolskie,"Wojewódzki Szpital Zespolony im. Ludwika Perzyny, ul. Poznańska 79, 62-800 Kalisz",Wielkopolski Oddział Narodowego Funduszu Zdrowia w Poznaniu,15
